model,pretrained,learning_rate,t2I Recall@1,t2I Recall@5,t2I Recall@10,I2t Recall@1,I2t Recall@5,I2t Recall@10,VGR,VGA,COCO-Order,Flickr-Order,add_obj,add_att,replace_obj,replace_att,replace_rel,swap_obj,swap_att,CIFAR10_zeroshot_top1,CIFAR10_zeroshot_top3,CIFAR10_zeroshot_top5,CIFAR10_linear_probe_accuracy,CIFAR10_fine_tune_accuracy,CIFAR100_zeroshot_top1,CIFAR100_zeroshot_top3,CIFAR100_zeroshot_top5,CIFAR100_zeroshot_top10,CIFAR100_linear_probe_accuracy,CIFAR100_fine_tune_accuracy,ImageNet1K_zeroshot_top1,ImageNet1K_zeroshot_top3,ImageNet1K_zeroshot_top5,ImageNet1K_zeroshot_top10,ImageNet1K_linear_probe_accuracy,ImageNet1K_fine_tune_accuracy,StanfordCars_zeroshot_top1,StanfordCars_zeroshot_top3,StanfordCars_zeroshot_top5,StanfordCars_zeroshot_top10,StanfordCars_linear_probe_accuracy,StanfordCars_fine_tune_accuracy,Flowers102_zeroshot_top1,Flowers102_zeroshot_top3,Flowers102_zeroshot_top5,Flowers102_zeroshot_top10,Flowers102_linear_probe_accuracy,Flowers102_fine_tune_accuracy,wino_text,wino_image,wino_group
ViT-B-16-SigLIP,cc12m-random-50k-recap_e64,0.0001,,,,,,,,,,,,,,,,,,0.1423,0.4144,0.625,0.617,0.8268,0.049,0.0991,0.1374,0.2161,0.3922,0.5241,0.00682,0.01704,0.02602,0.0435,0.18556,0.4456,0.004850143017,0.01728640716,0.02847904489,0.05559010073,0.09140654147,0.156448203,0.02439421044,0.0422832981,0.05984712961,0.1135143926,0.4090095951,0.450967637,,,
ViT-B-16-SigLIP,cc12m-random-50k-recap_e64,0.0002,,,,,,,,,,,,,,,,,,0.1385,0.4019,0.6146,0.6127,0.8053,0.0349,0.0915,0.1374,0.2202,0.3821,0.4595,0.00812,0.01858,0.02726,0.04596,0.17914,0.3078,0.004477055093,0.01256062679,0.02226091282,0.04551672678,0.08469095884,0.1333167516,0.02081639291,0.04277118231,0.0588713612,0.09611318914,0.3768092373,0.4179541389,,,
ViT-B-16-SigLIP,cc12m-random-50k-recap_e64,0.0005,,,,,,,,,,,,,,,,,,0.1312,0.3946,0.6435,0.5839,0.7515,0.049,0.1003,0.1427,0.227,0.3413,0.2696,0.00762,0.01846,0.02664,0.04462,0.1552,0.1234,0.006342494715,0.0174107698,0.02847904489,0.05683372715,0.0785971894,0.1126725532,0.01414864206,0.04195804196,0.05870873313,0.1071718979,0.3548544479,0.2787445113,,,
ViT-B-16-SigLIP,cc12m-random-50k-recap_e64,0.001,,,,,,,,,,,,,,,,,,0.1236,0.374,0.5936,0.5532,0.4922,0.0453,0.0985,0.1393,0.2208,0.307,0.1711,0.0056,0.01462,0.02266,0.03794,0.13398,0.0562,0.005471956224,0.01691331924,0.02785723169,0.05733117771,0.07200596941,0.07300087054,0.01268498943,0.03366401041,0.0551309156,0.1035940803,0.3384290128,0.1743372906,,,
ViT-B-16-SigLIP,cc12m-random-50k-recap_e64,0.002,,,,,,,,,,,,,,,,,,0.1851,0.4957,0.7064,0.439,0.3734,0.0585,0.1235,0.1767,0.2695,0.2184,0.0809,0.00296,0.00844,0.0139,0.02582,0.0712,0.0179,0.004974505659,0.01467479169,0.02661360527,0.05073995772,0.04091530904,0.03407536376,0.0112213368,0.04033176126,0.06114815417,0.1008294032,0.2618311921,0.09546267686,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ViT-B-16-SigLIP,unity-random-50k-recap_e64,0.0001,,,,,,,,,,,,,,,,,,0.106,0.3321,0.5582,0.5003,0.7584,0.0133,0.0406,0.068,0.1243,0.2642,0.4421,0.00168,0.00456,0.0071,0.01362,0.09366,0.3727,0.004725780376,0.01305807735,0.0225096381,0.04700907847,0.05360029847,0.08058699167,0.006342494715,0.02293055781,0.04098227354,0.10278094,0.2950073183,0.1888111888,,,
ViT-B-16-SigLIP,unity-random-50k-recap_e64,0.0002,,,,,,,,,,,,,,,,,,0.0853,0.3088,0.4808,0.5028,0.7445,0.0146,0.0425,0.0686,0.1318,0.2655,0.3438,0.00164,0.00466,0.00752,0.01452,0.09458,0.2247,0.003233428678,0.01256062679,0.02238527546,0.05161049621,0.05509265017,0.09861957468,0.003903073671,0.02471946658,0.04537323142,0.08472922426,0.2885021955,0.2559765816,,,
ViT-B-16-SigLIP,unity-random-50k-recap_e64,0.0005,,,,,,,,,,,,,,,,,,0.1034,0.3309,0.5354,0.4998,0.6748,0.0111,0.0367,0.0613,0.1159,0.2473,0.1993,0.0014,0.00416,0.00712,0.0132,0.09516,0.0562,0.006715582639,0.01566969282,0.02449944037,0.04899888074,0.04862579281,0.07225469469,0.009107171898,0.02081639291,0.03805496829,0.09334851195,0.2629695886,0.2319076273,,,
ViT-B-16-SigLIP,unity-random-50k-recap_e64,0.001,,,,,,,,,,,,,,,,,,0.1141,0.3463,0.5662,0.4517,0.4483,0.0138,0.0396,0.0655,0.1226,0.2241,0.1191,0.00126,0.0035,0.00608,0.0125,0.07066,0.0255,0.005347593583,0.0152966049,0.0240019898,0.04899888074,0.04526800149,0.04365128715,0.008781915759,0.02162953326,0.04081964547,0.08245243129,0.2362985851,0.2093023256,,,
