model,pretrained,learning_rate,t2I Recall@1,t2I Recall@5,t2I Recall@10,I2t Recall@1,I2t Recall@5,I2t Recall@10,VGR,VGA,COCO-Order,Flickr-Order,add_obj,add_att,replace_obj,replace_att,replace_rel,swap_obj,swap_att,CIFAR10_zeroshot_top1,CIFAR10_zeroshot_top3,CIFAR10_zeroshot_top5,CIFAR10_linear_probe_accuracy,CIFAR10_fine_tune_accuracy,CIFAR100_zeroshot_top1,CIFAR100_zeroshot_top3,CIFAR100_zeroshot_top5,CIFAR100_zeroshot_top10,CIFAR100_linear_probe_accuracy,CIFAR100_fine_tune_accuracy,ImageNet1K_zeroshot_top1,ImageNet1K_zeroshot_top3,ImageNet1K_zeroshot_top5,ImageNet1K_zeroshot_top10,ImageNet1K_linear_probe_accuracy,ImageNet1K_fine_tune_accuracy,StanfordCars_zeroshot_top1,StanfordCars_zeroshot_top3,StanfordCars_zeroshot_top5,StanfordCars_zeroshot_top10,StanfordCars_linear_probe_accuracy,StanfordCars_fine_tune_accuracy,Flowers102_zeroshot_top1,Flowers102_zeroshot_top3,Flowers102_zeroshot_top5,Flowers102_zeroshot_top10,Flowers102_linear_probe_accuracy,Flowers102_fine_tune_accuracy,wino_text,wino_image,wino_group
RN50,cc12m-random-50k-recap_e64,0.0001,,,,,,,,,,,,,,,,,,0.1293,0.4165,0.6519,0.6267,0.8605,0.0311,0.0755,0.1113,0.1846,0.3928,0.4833,0.007,0.01852,0.02858,0.04902,0.25066,0.4472,0.006342494715,0.02201218754,0.03320482527,0.06566347469,0.1360527298,0.4309165527,0.01187184908,0.03805496829,0.06309969101,0.1048951049,0.4046186372,0.4711335176,,,
RN50,cc12m-random-50k-recap_e64,0.0002,0.008075477732,0.02970336611,0.05105141121,0.0114,0.0388,0.0726,0.5148097088,0.5024651359,0.1992802879,0.2098,0.5101842871,0.5621387283,0.5647699758,0.6307106599,0.5640113798,0.4857142857,0.536036036,0.176,0.3998,0.5954,0.651,0.8647,0.0266,0.0666,0.1036,0.1827,0.4059,0.4727,0.00856,0.02202,0.03268,0.05438,0.267,0.4282,0.006218132073,0.01840567094,0.03109066037,0.06305185922,0.1426,0.4297972889,0.01853959993,0.04618637177,0.07464628395,0.1372580907,0.4328,0.4371442511,0.1825,0.09,0.055
RN50,cc12m-random-50k-recap_e64,0.0005,0.014032142,0.04653394099,0.07675701607,0.0218,0.0682,0.112,0.520658395,0.5028877307,0.193602559,0.2148,0.5266731329,0.6054913295,0.602905569,0.654822335,0.5931721195,0.5428571429,0.5855855856,0.1407,0.3101,0.5106,0.6206,0.8629,0.0243,0.0669,0.1,0.1624,0.38,0.3774,0.0126,0.03046,0.04452,0.07172,0.25832,0.2697,0.006964307922,0.02238527546,0.03743315508,0.0677776396,0.1181,0.3155080214,0.0128476175,0.03203772971,0.05366726297,0.1047324768,0.4519,0.3624979671,0.1925,0.115,0.0625
RN50,cc12m-random-50k-recap_e64,0.001,0.01459182858,0.05085152315,0.08367314304,0.023,0.0832,0.123,0.5248778042,0.497675729,0.2013594562,0.2178,0.5208535403,0.5852601156,0.6283292978,0.6675126904,0.5519203414,0.5428571429,0.545045045,0.1698,0.3902,0.5748,0.6039,0.8192,0.0291,0.0739,0.1165,0.2049,0.3515,0.3024,0.01724,0.03834,0.05462,0.08602,0.22612,0.1849,0.00596940679,0.02151473697,0.03494590225,0.07125979356,0.1159,0.246611118,0.01398601399,0.0352902911,0.06082289803,0.1266872662,0.4223,0.2528866482,0.215,0.0825,0.05
RN50,cc12m-random-50k-recap_e64,0.002,0.0165907092,0.05712800832,0.09402734469,0.028,0.0872,0.138,0.5149350378,0.5052824341,0.2083166733,0.2274,0.5072744908,0.6083815029,0.6404358354,0.6637055838,0.5917496444,0.5020408163,0.5465465465,0.1461,0.3891,0.593,0.5722,0.8409,0.0328,0.0877,0.13,0.2112,0.3389,0.3752,0.01574,0.03778,0.05662,0.08732,0.22162,0.1961,0.006218132073,0.01765949509,0.0305932098,0.06441984828,0.0971,0.2106703146,0.02081639291,0.05073995772,0.07692307692,0.1387217434,0.4352,0.1951536835,0.175,0.0775,0.0475
ViT-B-16,cc12m-random-50k-recap_e64,0.0001,,,,,,,,,,,,,,,,,,0.1452,0.3969,0.6205,0.5927,0.7976,0.039,0.0837,0.119,0.1941,0.3564,0.428,0.00514,0.01236,0.01894,0.03258,0.14966,0.3687,0.0050988683,0.0167889566,0.02823031961,0.0560875513,0.08133316752,0.1274717075,0.006342494715,0.02130427712,0.04488534721,0.1073345259,0.3834769881,0.3919336477,,,
ViT-B-16,cc12m-random-50k-recap_e64,0.0002,0.005157112017,0.01982889582,0.03334132886,0.008,0.0294,0.0496,0.5097547729,0.4968305395,0.1722510996,0.1792,0.5295829292,0.5679190751,0.5623486683,0.6459390863,0.5433854908,0.4857142857,0.5255255255,0.1455,0.3422,0.5917,0.5761,0.7955,0.0402,0.0998,0.1458,0.2297,0.3456,0.3959,0.00588,0.01502,0.02376,0.04118,0.14378,0.3192,0.005720681507,0.01629150603,0.02536997886,0.05123740828,0.07486631016,0.1389130705,0.01203447715,0.03106196129,0.05090258579,0.1053829891,0.4101479915,0.3968124898,0.1775,0.085,0.03
ViT-B-16,cc12m-random-50k-recap_e64,0.0005,0.005277044855,0.02086831374,0.03494043336,0.0074,0.0322,0.053,0.5101307599,0.4930271869,0.1774090364,0.1806,0.5334626576,0.588150289,0.5877723971,0.6383248731,0.5490753912,0.4775510204,0.53003003,0.1447,0.388,0.5771,0.5419,0.7599,0.0456,0.1008,0.1488,0.2335,0.3265,0.3276,0.0074,0.01864,0.02756,0.04704,0.13068,0.1541,0.00422832981,0.01293371471,0.0225096381,0.05360029847,0.07586121129,0.1070762343,0.01626280696,0.04000650512,0.06553911205,0.1273377785,0.420556188,0.3537160514,0.2,0.0825,0.045
ViT-B-16,cc12m-random-50k-recap_e64,0.001,0.003518029903,0.01515151515,0.02990325418,0.0062,0.026,0.0444,0.5102560889,0.4854204818,0.1808076769,0.1902,0.5451018429,0.5895953757,0.5575060533,0.635786802,0.5433854908,0.5469387755,0.539039039,0.1599,0.3836,0.5958,0.5235,0.7365,0.0393,0.0951,0.1426,0.2334,0.3086,0.2475,0.00898,0.0208,0.03014,0.04876,0.11976,0.1147,0.007088670563,0.01790822037,0.02847904489,0.05509265017,0.06752891431,0.08108444223,0.007318263132,0.02618311921,0.04927630509,0.1203447715,0.3745324443,0.252398764,0.18,0.0925,0.05
ViT-B-16,cc12m-random-50k-recap_e64,0.002,0.00283841049,0.0111537539,0.02022867194,0.0032,0.0146,0.0264,0.5087939174,0.4971122693,0.1861255498,0.1862,0.5446168768,0.5895953757,0.549031477,0.6078680203,0.5640113798,0.4693877551,0.5255255255,0.1401,0.3862,0.595,0.4961,0.4562,0.0437,0.0955,0.1381,0.2286,0.2639,0.1616,0.00638,0.0168,0.02542,0.04096,0.09474,0.0635,0.004601417734,0.01641586867,0.02711105584,0.05185922149,0.05347593583,0.04812834225,0.01317287364,0.02976093674,0.04504797528,0.1011546593,0.3372906164,0.1605139047,0.215,0.125,0.085
